43,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,San Jose,Columbus,Charlotte,Washington,El Paso,Colorado Springs,Iowa City,Omaha,Raleigh,Tulsa,Long Beach,Wichita,New Orleans,Henderson,Lexington,Cincinnati,Anchorage,Madison,Toronto,Montreal,Vancouver,Quebec City,Mexico City,San Francisco,Guadalajara,
2938,2430,2089,2164,2290,2050,2432,3000,1284,1842,1886,712,2907,1691,459,1691,1716,2683,0,2458,2667,2840,1141,1340,1941,1697,2798,1690,363,1636,2196,531,2418,2397,3103,2114,2656,2984,982,3149,2282,48,1906,
536,203,418,356,176,589,567,1152,1259,657,1156,1874,469,1315,2227,1041,1236,806,2458,0,426,398,1606,1243,537,782,477,811,2258,851,910,2015,190,107,3930,503,427,714,2556,879,2080,2430,2102,
625,629,713,755,575,619,244,729,1561,959,1037,2043,539,1231,2384,1025,1173,383,2667,426,0,400,1661,1546,935,1144,167,1021,2428,1082,713,2186,400,462,4328,902,758,987,2932,1136,1963,2712,1985,
225,521,815,696,573,877,639,1052,1656,1054,1408,2300,139,1603,2653,1329,1524,706,2840,398,400,0,1962,1638,903,1148,278,1206,2685,1246,1084,2442,512,500,4274,847,509,584,2900,733,2334,2824,2356,
2182,1717,1190,1485,1431,1086,1416,1932,637,938,746,430,2101,551,724,635,576,1615,1141,1606,1661,1962,0,568,1246,1017,1823,799,808,745,1092,715,1509,1568,3816,1419,1948,2276,1828,2442,1144,1182,979,
1777,1339,833,1073,1067,1077,1384,2047,70,587,963,795,1710,864,1151,730,852,1730,1340,1243,1546,1638,568,0,855,610,1652,676,1099,503,1233,830,1169,1175,3250,1028,1570,1898,1511,2063,1640,1322,1564,
996,488,260,222,366,528,812,1474,784,307,1047,1513,966,1121,1864,810,1043,1157,1941,537,935,903,1246,855,0,249,987,575,1813,502,924,1544,552,475,3469,176,718,1046,1988,1211,1944,1913,1908,
1242,733,432,468,611,635,983,1646,539,185,896,1303,1211,918,1619,658,839,1329,1697,782,1144,1148,1017,610,249,0,1232,380,1568,301,1033,1299,767,720,3346,421,963,1291,1790,1456,1743,1668,1707,
504,680,821,806,626,749,407,801,1668,1067,1199,2173,419,1394,2546,1188,1336,454,2798,477,167,278,1823,1652,987,1232,0,1151,2558,1212,874,2315,491,514,4380,954,748,861,3006,1010,2123,2841,2146,
1345,922,394,690,635,401,783,1445,692,271,494,1065,1278,531,1418,257,452,1128,1690,811,1021,1206,799,676,575,380,1151,0,1449,176,655,1206,730,743,3728,752,1151,1479,2125,1644,1356,1733,1320,
2806,2298,1842,2032,2083,1809,2191,2740,1033,1634,1554,380,2726,1359,112,1443,1384,2423,363,2258,2428,2685,808,1099,1813,1568,2558,1449,0,1394,1905,289,2177,2189,3422,1984,2526,2854,1300,3019,1955,405,1504,
1385,957,441,705,675,577,959,1621,519,195,602,1011,1318,624,1364,364,545,1304,1636,851,1082,1246,745,503,502,301,1212,176,1394,0,870,1153,776,783,3530,677,1191,1519,1950,1684,1449,1679,1413,
1304,1064,678,927,819,395,469,863,1303,849,348,1522,1223,543,1816,505,511,546,2196,910,713,1084,1092,1233,924,1033,874,655,1905,870,0,1712,746,806,4373,1036,1296,1627,2722,1792,1273,2238,1295,
2537,2028,1599,1763,1840,1566,1948,2516,763,1365,1441,287,2483,1265,342,1207,1254,2199,531,2015,2186,2442,715,830,1544,1299,2315,1206,289,1153,1712,0,1936,1948,3411,1717,2259,2587,1266,2753,1857,574,1481,
706,344,337,372,189,423,382,1044,1185,583,990,1794,641,1149,2146,875,1070,717,2418,190,400,512,1509,1169,552,767,491,730,2177,776,746,1936,0,82,3946,519,573,904,2537,1069,1915,2392,1937,
639,263,350,295,112,482,461,1123,1191,589,1049,1806,572,1208,2159,934,1129,796,2397,107,462,500,1568,1175,475,720,514,743,2189,783,806,1948,82,0,3869,442,492,821,2460,986,1973,2368,1995,
4367,3859,3726,3574,3756,3978,4292,4955,3180,3528,4130,3637,4337,4100,3519,3892,4087,4638,3103,3930,4328,4274,3816,3250,3469,3346,4380,3728,3422,3530,4373,3411,3946,3869,0,3440,4090,4166,2195,4312,4890,3070,4815,
941,432,359,147,330,641,866,1528,957,480,1135,1686,910,1262,2037,988,1183,1211,2114,503,902,847,1419,1028,176,421,954,752,1984,677,1036,1717,519,442,3440,0,658,986,2060,1151,2063,2091,2086,
491,231,758,513,516,973,951,1486,1498,994,1520,2215,498,1679,2579,1406,1601,1140,2656,427,758,509,1948,1570,718,963,748,1151,2526,1191,1296,2259,573,492,4090,658,0,337,2717,502,2456,2642,2478,
370,559,1086,841,844,1303,1224,1637,1826,1322,1848,2543,453,2007,2906,1734,1929,1291,2984,714,987,584,2276,1898,1046,1291,861,1479,2854,1519,1627,2587,904,821,4166,986,337,0,2834,163,2783,2968,2805,
2993,2485,2219,2200,2383,2422,2771,3433,1441,1972,2451,1551,2963,2279,1397,2218,2254,3116,982,2556,2932,2900,1828,1511,1988,1790,3006,2125,1300,1950,2722,1266,2537,2460,2195,2060,2717,2834,0,2992,2978,950,2746,
519,724,1251,1006,1009,1468,1372,1786,1992,1487,2014,2708,601,2173,3072,1899,2094,1440,3149,879,1136,733,2442,2063,1211,1456,1010,1644,3019,1684,1792,2753,1069,986,4312,1151,502,163,2992,0,2945,3131,2967,
2554,2226,1705,2008,1939,1493,1718,2113,1710,1637,926,1572,2473,831,1866,1099,905,1796,2282,2080,1963,2334,1144,1640,1944,1743,2123,1356,1955,1449,1273,1857,1915,1973,4890,2063,2456,2783,2978,2945,0,2321,335,
2918,2410,2057,2132,2259,2092,2474,3042,1252,1810,1928,754,2887,1733,502,1734,1758,2725,48,2430,2712,2824,1182,1322,1913,1668,2841,1733,405,1679,2238,574,2392,2368,3070,2091,2642,2968,950,3131,2321,0,1948,
2576,2248,1693,2030,1961,1515,1741,2135,1635,1601,948,1195,2495,790,1401,1063,869,1818,1906,2102,1985,2356,979,1564,1908,1707,2146,1320,1504,1413,1295,1481,1937,1995,4815,2086,2478,2805,2746,2967,335,1948,0,
