36,
New York City,Detroit,St. Louis,Chicago,Indianapolis,Memphis,Atlanta,Miami,Denver,Kansas City,Houston,Phoenix,Philadelphia,San Antonio,San Diego,Dallas,Austin,Jacksonville,San Jose,Columbus,Charlotte,Washington,El Paso,Colorado Springs,Iowa City,Omaha,Raleigh,Tulsa,Long Beach,Wichita,New Orleans,Henderson,Lexington,Cincinnati,Anchorage,Madison,
2409,1985,1458,1753,1698,1425,1807,2362,821,1205,1176,0,2342,981,355,1064,1006,2044,712,1874,2043,2300,430,795,1513,1303,2173,1065,380,1011,1522,287,1794,1806,3637,1686,
93,584,886,760,643,1015,779,1192,1727,1125,1547,2342,0,1742,2693,1467,1662,846,2907,469,539,139,2101,1710,966,1211,419,1278,2726,1318,1223,2483,641,572,4337,910,
1823,1458,904,1241,1172,725,988,1382,921,812,197,981,1742,0,1274,274,79,1066,1691,1315,1231,1603,551,864,1121,918,1394,531,1359,624,543,1265,1149,1208,4100,1262,
2760,2343,1809,2077,2050,1776,2139,2655,1078,1556,1470,355,2693,1274,0,1358,1300,2339,459,2227,2384,2653,724,1151,1864,1619,2546,1418,112,1364,1816,342,2146,2159,3519,2037,
1548,1185,631,968,899,452,781,1309,797,552,239,1064,1467,274,1358,0,195,993,1691,1041,1025,1329,635,730,810,658,1188,257,1443,364,505,1207,875,934,3892,988,
1743,1380,826,1163,1094,647,930,1351,909,734,165,1006,1662,79,1300,195,0,1034,1716,1236,1173,1524,576,852,1043,839,1336,452,1384,545,511,1254,1070,1129,4087,1183,
932,1010,900,1062,880,736,346,346,1748,1146,871,2044,846,1066,2339,993,1034,0,2683,806,383,706,1615,1730,1157,1329,454,1128,2423,1304,546,2199,717,796,4638,1211,
2938,2430,2089,2164,2290,2050,2432,3000,1284,1842,1886,712,2907,1691,459,1691,1716,2683,0,2458,2667,2840,1141,1340,1941,1697,2798,1690,363,1636,2196,531,2418,2397,3103,2114,
536,203,418,356,176,589,567,1152,1259,657,1156,1874,469,1315,2227,1041,1236,806,2458,0,426,398,1606,1243,537,782,477,811,2258,851,910,2015,190,107,3930,503,
625,629,713,755,575,619,244,729,1561,959,1037,2043,539,1231,2384,1025,1173,383,2667,426,0,400,1661,1546,935,1144,167,1021,2428,1082,713,2186,400,462,4328,902,
225,521,815,696,573,877,639,1052,1656,1054,1408,2300,139,1603,2653,1329,1524,706,2840,398,400,0,1962,1638,903,1148,278,1206,2685,1246,1084,2442,512,500,4274,847,
2182,1717,1190,1485,1431,1086,1416,1932,637,938,746,430,2101,551,724,635,576,1615,1141,1606,1661,1962,0,568,1246,1017,1823,799,808,745,1092,715,1509,1568,3816,1419,
1777,1339,833,1073,1067,1077,1384,2047,70,587,963,795,1710,864,1151,730,852,1730,1340,1243,1546,1638,568,0,855,610,1652,676,1099,503,1233,830,1169,1175,3250,1028,
996,488,260,222,366,528,812,1474,784,307,1047,1513,966,1121,1864,810,1043,1157,1941,537,935,903,1246,855,0,249,987,575,1813,502,924,1544,552,475,3469,176,
1242,733,432,468,611,635,983,1646,539,185,896,1303,1211,918,1619,658,839,1329,1697,782,1144,1148,1017,610,249,0,1232,380,1568,301,1033,1299,767,720,3346,421,
504,680,821,806,626,749,407,801,1668,1067,1199,2173,419,1394,2546,1188,1336,454,2798,477,167,278,1823,1652,987,1232,0,1151,2558,1212,874,2315,491,514,4380,954,
1345,922,394,690,635,401,783,1445,692,271,494,1065,1278,531,1418,257,452,1128,1690,811,1021,1206,799,676,575,380,1151,0,1449,176,655,1206,730,743,3728,752,
2806,2298,1842,2032,2083,1809,2191,2740,1033,1634,1554,380,2726,1359,112,1443,1384,2423,363,2258,2428,2685,808,1099,1813,1568,2558,1449,0,1394,1905,289,2177,2189,3422,1984,
1385,957,441,705,675,577,959,1621,519,195,602,1011,1318,624,1364,364,545,1304,1636,851,1082,1246,745,503,502,301,1212,176,1394,0,870,1153,776,783,3530,677,
1304,1064,678,927,819,395,469,863,1303,849,348,1522,1223,543,1816,505,511,546,2196,910,713,1084,1092,1233,924,1033,874,655,1905,870,0,1712,746,806,4373,1036,
2537,2028,1599,1763,1840,1566,1948,2516,763,1365,1441,287,2483,1265,342,1207,1254,2199,531,2015,2186,2442,715,830,1544,1299,2315,1206,289,1153,1712,0,1936,1948,3411,1717,
706,344,337,372,189,423,382,1044,1185,583,990,1794,641,1149,2146,875,1070,717,2418,190,400,512,1509,1169,552,767,491,730,2177,776,746,1936,0,82,3946,519,
639,263,350,295,112,482,461,1123,1191,589,1049,1806,572,1208,2159,934,1129,796,2397,107,462,500,1568,1175,475,720,514,743,2189,783,806,1948,82,0,3869,442,
4367,3859,3726,3574,3756,3978,4292,4955,3180,3528,4130,3637,4337,4100,3519,3892,4087,4638,3103,3930,4328,4274,3816,3250,3469,3346,4380,3728,3422,3530,4373,3411,3946,3869,0,3440,
941,432,359,147,330,641,866,1528,957,480,1135,1686,910,1262,2037,988,1183,1211,2114,503,902,847,1419,1028,176,421,954,752,1984,677,1036,1717,519,442,3440,0,
